file_id,row,column,OD_730_pr_raw,blank_OD_730,OD_730_pr_bc,fl_raw,blank_fl,fl_bc,sample_id,sample_type,sample_vol,blank_vol,strain,induction,timepoint,OD_730_pr,fl
20210930_t5.xls,H,2,0.4107,0.3489,0.0618,11.3333,11.5,-0.1667,20210930_5_8,sample,800,0,petE,+,5,0.0618,-0.1667
20210930_t5.xls,H,3,0.4099,0.3489,0.0611,11.3333,11.5,-0.1667,20210930_5_8,sample,800,0,petE,+,5,0.0611,-0.1667
20210930_t6.xls,A,1,0.4081,0.3524,0.0557,11,11.0833,-0.0833,20210930_6_1,sample,800,0,EVC,-,6,0.0557,-0.0833
20210930_t6.xls,A,2,0.4041,0.3524,0.0517,10.6667,11.0833,-0.4167,20210930_6_1,sample,800,0,EVC,-,6,0.0517,-0.4167
20210930_t6.xls,A,3,0.4085,0.3524,0.0561,11,11.0833,-0.0833,20210930_6_1,sample,800,0,EVC,-,6,0.0561,-0.0833
20210930_t6.xls,B,1,0.4276,0.3524,0.0752,11,11.0833,-0.0833,20210930_6_2,sample,800,0,EVC,+,6,0.0752,-0.0833
20210930_t6.xls,B,2,0.4324,0.3524,0.0799,10.6667,11.0833,-0.4167,20210930_6_2,sample,800,0,EVC,+,6,0.0799,-0.4167
20210930_t6.xls,B,3,0.4395,0.3524,0.0871,11,11.0833,-0.0833,20210930_6_2,sample,800,0,EVC,+,6,0.0871,-0.0833
20210930_t6.xls,C,1,0.4212,0.3524,0.0688,11,11.0833,-0.0833,20210930_6_3,sample,800,0,J23100,-,6,0.0688,-0.0833
20210930_t6.xls,C,2,0.426,0.3524,0.0736,11,11.0833,-0.0833,20210930_6_3,sample,800,0,J23100,-,6,0.0736,-0.0833
20210930_t6.xls,C,3,0.4284,0.3524,0.0759,11,11.0833,-0.0833,20210930_6_3,sample,800,0,J23100,-,6,0.0759,-0.0833
20210930_t6.xls,D,1,0.4154,0.3524,0.063,11,11.0833,-0.0833,20210930_6_4,sample,800,0,J23100,+,6,0.063,-0.0833
